building_type,elemental_code,code_name,category,cost_per_sf_low,cost_per_sf_avg,cost_per_sf_high,mult_procurement_cmar,mult_procurement_hard_bid,mult_procurement_design_build,mult_procurement_csp,mult_construction_concrete,mult_construction_steel,mult_construction_mass_timber,mult_construction_wood_frame,mult_stories_1,mult_stories_2,mult_stories_3,mult_stories_4
Specialty,D40,Stairs,Interiors,5.00,8.00,10.00,0.900,1.100,1.000,1.050,0.950,1.000,1.100,0.900,1.000,1.150,1.300,1.450
Specialty,D50,Finishes,Interiors,20.00,26.00,32.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Specialty,E10,Plumbing,Services,15.00,20.00,25.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.050,1.100,1.150
Specialty,E20,HVAC,Services,28.00,35.00,44.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.030,1.060,1.090
Specialty,E30,Fire Protection,Services,8.00,10.00,13.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Specialty,E40,Electrical,Services,22.00,30.00,38.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.050,1.100,1.150
Specialty,E50,Conveying Systems,Services,0.00,3.00,10.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.500,1.800,2.000
Specialty,F10,Fixed Equipment,Equipment,6.00,9.00,14.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Specialty,F20,Furnishings,Equipment,4.00,7.00,10.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Specialty,G10,Special Construction,Site,3.00,5.00,8.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Specialty,G20,Building Demolition,Site,0.00,3.00,6.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Specialty,Z10,General Requirements,General,10.00,15.00,20.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Specialty,Z20,Contingency / Escalation,General,12.00,18.00,25.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,A10,Foundations,Substructure,10.00,12.50,15.00,0.900,1.100,1.000,1.050,0.950,1.000,1.250,0.850,1.000,1.050,1.100,1.150
Administration Building,A20,Basement Construction,Substructure,6.50,8.50,10.00,0.900,1.100,1.000,1.050,0.900,1.000,1.200,0.800,1.000,1.030,1.060,1.090
Administration Building,A30,Substructure Specialties,Substructure,1.50,2.50,3.50,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,B10,Floor Construction,Shell,15.00,18.50,24.00,0.900,1.100,1.000,1.050,0.850,1.000,1.350,0.750,1.000,1.080,1.160,1.240
Administration Building,B20,Roof Construction,Shell,12.00,15.00,18.50,0.900,1.100,1.000,1.050,0.900,1.000,1.300,0.800,1.000,1.050,1.100,1.150
Administration Building,B30,Structural Frame,Shell,18.50,24.00,30.00,0.900,1.100,1.000,1.050,0.800,1.000,1.400,0.700,1.000,1.100,1.200,1.300
Administration Building,B40,Structural Specialties,Shell,2.50,3.50,4.50,0.900,1.100,1.000,1.050,1.000,1.000,1.100,0.950,1.000,1.020,1.040,1.060
Administration Building,C10,Exterior Walls,Enclosure,21.00,27.00,34.00,0.900,1.100,1.000,1.050,0.950,1.000,1.150,0.900,1.000,1.030,1.060,1.090
Administration Building,C20,Exterior Windows,Enclosure,10.00,13.50,17.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Administration Building,C30,Exterior Doors,Enclosure,3.50,5.00,7.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,C40,Roofing,Enclosure,8.50,12.00,15.00,0.900,1.100,1.000,1.050,1.000,1.000,1.050,0.950,1.000,1.000,1.000,1.000
Administration Building,C50,Exterior Specialties,Enclosure,1.50,2.50,3.50,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,D10,Interior Partitions,Interiors,7.00,10.00,14.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Administration Building,D20,Interior Doors,Interiors,4.50,6.00,8.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Administration Building,D30,Fittings & Specialties,Interiors,5.00,7.00,9.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,D40,Stairs,Interiors,3.50,5.00,7.00,0.900,1.100,1.000,1.050,0.950,1.000,1.100,0.900,1.000,1.150,1.300,1.450
Administration Building,D50,Finishes,Interiors,13.00,17.00,21.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,E10,Plumbing,Services,10.00,13.50,17.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.050,1.100,1.150
Administration Building,E20,HVAC,Services,18.50,24.00,30.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.030,1.060,1.090
Administration Building,E30,Fire Protection,Services,5.00,7.00,9.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Administration Building,E40,Electrical,Services,15.00,20.00,26.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.050,1.100,1.150
Administration Building,E50,Conveying Systems,Services,0.00,1.50,7.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.500,1.800,2.000
Administration Building,F10,Fixed Equipment,Equipment,3.50,5.00,8.50,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,F20,Furnishings,Equipment,2.50,4.50,7.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,G10,Special Construction,Site,1.50,3.50,5.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,G20,Building Demolition,Site,0.00,1.50,4.50,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,Z10,General Requirements,General,7.00,10.00,14.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Administration Building,Z20,Contingency / Escalation,General,8.50,13.00,17.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
District,A10,Foundations,Substructure,9.00,11.50,14.00,0.900,1.100,1.000,1.050,0.950,1.000,1.250,0.850,1.000,1.050,1.100,1.150
District,A20,Basement Construction,Substructure,6.00,7.50,9.00,0.900,1.100,1.000,1.050,0.900,1.000,1.200,0.800,1.000,1.030,1.060,1.090
District,A30,Substructure Specialties,Substructure,1.50,2.25,3.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
District,B10,Floor Construction,Shell,14.00,17.00,22.00,0.900,1.100,1.000,1.050,0.850,1.000,1.350,0.750,1.000,1.080,1.160,1.240
District,B20,Roof Construction,Shell,11.00,14.00,17.00,0.900,1.100,1.000,1.050,0.900,1.000,1.300,0.800,1.000,1.050,1.100,1.150
District,B30,Structural Frame,Shell,17.00,22.00,27.00,0.900,1.100,1.000,1.050,0.800,1.000,1.400,0.700,1.000,1.100,1.200,1.300
District,B40,Structural Specialties,Shell,2.25,3.00,4.00,0.900,1.100,1.000,1.050,1.000,1.000,1.100,0.950,1.000,1.020,1.040,1.060
District,C10,Exterior Walls,Enclosure,19.00,25.00,31.00,0.900,1.100,1.000,1.050,0.950,1.000,1.150,0.900,1.000,1.030,1.060,1.090
District,C20,Exterior Windows,Enclosure,9.00,12.00,15.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
District,C30,Exterior Doors,Enclosure,3.00,4.50,6.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
District,C40,Roofing,Enclosure,7.50,11.00,14.00,0.900,1.100,1.000,1.050,1.000,1.000,1.050,0.950,1.000,1.000,1.000,1.000
District,C50,Exterior Specialties,Enclosure,1.50,2.25,3.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
District,D10,Interior Partitions,Interiors,6.00,9.00,12.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
District,D20,Interior Doors,Interiors,4.00,5.50,7.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
